,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
748198,178187,547420.0,178860.0,0.122007,51.489421,3,1,1,26/09/2010,1,20,3,2041,Dual carriageway,30,4.0,-1,2,3.0,3,5,1,0,5.0,1,2010,9
173767,173767,415030.0,185530.0,-1.784557,51.568396,3,2,1,29/07/2005,6,7,4,4289,Dual carriageway,40,4.0,-1,1,5.0,4,3,2,0,5.0,1,2005,7
118961,118961,516770.0,248390.0,-0.295828,52.12146,3,1,1,20/02/2005,1,15,3,1,Dual carriageway,50,1.0,6,2,1.0,4,8,1,0,5.0,1,2005,2
790370,220359,431100.0,392900.0,-1.533373,53.431962,3,2,3,24/03/2010,4,15,3,6102,Dual carriageway,30,1.0,6,2,1.0,4,3,2,0,5.0,2,2010,3
241996,241996,389980.0,404180.0,-2.152653,53.534168,3,1,1,12/01/2006,5,18,3,663,Dual carriageway,40,3.0,4,2,3.0,3,3,2,0,5.0,1,2006,1
628241,58230,434870.0,406500.0,-1.475125,53.553967,3,1,1,10/12/2009,5,9,3,61,Dual carriageway,40,4.0,-1,2,1.0,4,3,1,0,5.0,1,2009,12
292152,292152,445820.0,355850.0,-1.317157,53.097875,3,2,1,17/07/2006,2,6,1,1,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,7
468097,468097,385320.0,305290.0,-2.218413,52.645121,3,2,1,10/10/2007,4,22,1,54,Dual carriageway,70,4.0,-1,2,1.0,1,3,2,0,5.0,2,2007,10
252327,252327,430090.0,550680.0,-1.532884,54.850043,3,6,3,18/01/2006,4,7,2,1,Dual carriageway,70,4.0,-1,2,1.0,1,3,2,0,5.0,2,2006,1
131889,131889,490550.0,190210.0,-0.693921,51.603408,3,2,1,21/12/2005,4,1,1,40,Dual carriageway,70,4.0,-1,2,1.0,1,3,2,0,5.0,1,2005,12
22689,22689,520560.0,181710.0,-0.263694,51.521396,3,2,1,14/12/2005,4,12,3,40,Dual carriageway,50,3.0,3,2,1.0,4,3,2,0,5.0,1,2005,12
920126,350115,337290.0,394180.0,-2.945546,53.440637,2,1,1,30/09/2011,6,20,3,5058,Dual carriageway,40,4.0,-1,2,1.0,3,3,2,1,5.0,1,2011,9
128040,128040,566190.0,181660.0,0.393446,51.509375,3,1,1,20/12/2005,3,17,3,13,Dual carriageway,70,4.0,-1,2,1.0,3,3,2,0,5.0,2,2005,12
516438,516438,462530.0,150930.0,-1.105372,51.254059,2,2,1,07/09/2007,6,19,3,30,Dual carriageway,40,4.0,-1,2,1.0,4,3,2,0,5.0,1,2007,9
952187,382176,412430.0,288410.0,-1.81836,52.493431,3,2,2,09/06/2011,5,20,3,4040,Dual carriageway,30,3.0,4,2,2.0,4,3,2,0,5.0,1,2011,6
904624,334613,514830.0,180180.0,-0.346744,51.508838,2,2,2,19/03/2011,7,8,3,4020,Dual carriageway,40,1.0,6,2,1.0,4,3,2,0,5.0,1,2011,3
420217,420217,357960.0,397310.0,-2.634813,53.470828,3,2,2,23/07/2007,2,17,3,580,Dual carriageway,60,3.0,3,2,2.0,4,3,2,0,5.0,2,2007,7
712255,142244,401550.0,138730.0,-1.979238,51.147772,3,2,1,22/12/2009,3,10,3,303,Dual carriageway,70,4.0,-1,2,1.0,4,3,1,0,5.0,2,2009,12
682991,112980,477260.0,171800.0,-0.889811,51.439882,3,2,1,31/08/2009,2,9,2,329,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2009,8
124486,124486,524660.0,200100.0,-0.198097,51.685779,3,2,1,05/12/2005,2,13,1,25,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2005,12
718881,148870,266540.0,196370.0,-3.930529,51.650193,3,2,2,05/06/2009,6,16,3,4067,Dual carriageway,50,4.0,-1,2,1.0,4,3,2,1,5.0,1,2009,6
999849,429838,506140.0,164930.0,-0.476483,51.37346,3,3,2,02/02/2011,4,19,3,317,Dual carriageway,30,1.0,6,2,1.0,3,3,2,0,5.0,2,2011,2
1009681,439670,531320.0,104310.0,-0.136942,50.82338,3,2,1,30/09/2011,6,15,3,23,Dual carriageway,30,3.0,6,2,5.0,4,3,2,0,5.0,1,2011,9
457846,457846,412410.0,288400.0,-1.818655,52.493342,3,1,1,29/12/2007,7,13,4,4114,Dual carriageway,40,4.0,-1,2,2.0,4,3,2,0,5.0,1,2007,12
402058,402058,543190.0,179050.0,0.061199,51.492215,3,4,3,21/07/2007,7,14,3,205,Dual carriageway,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2007,7
688911,118900,493890.0,148380.0,-0.656774,51.22684,3,2,1,10/11/2009,3,7,3,31,Dual carriageway,60,4.0,-1,2,1.0,4,5,1,0,5.0,2,2009,11
51937,51937,368810.0,381560.0,-2.469801,53.330016,2,7,5,04/12/2005,1,6,1,6,Dual carriageway,70,4.0,-1,2,1.0,1,5,1,0,5.0,2,2005,12
682823,112812,452630.0,174010.0,-1.243811,51.462572,3,1,1,23/09/2009,4,23,1,4,Dual carriageway,70,4.0,-1,2,1.0,1,3,2,0,5.0,2,2009,9
271126,271126,445470.0,525990.0,-1.297215,54.62702,3,2,1,19/06/2006,2,8,3,689,Dual carriageway,50,1.0,3,2,1.0,4,3,2,0,5.0,2,2006,6
471901,471901,377930.0,307670.0,-2.327794,52.666264,3,1,1,21/02/2007,4,10,1,54,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2007,2
515150,515150,451860.0,129120.0,-1.261391,51.059025,3,1,1,15/06/2007,6,13,3,31,Dual carriageway,60,4.0,-1,2,1.0,4,5,1,0,5.0,2,2007,6
906405,336394,510850.0,175990.0,-0.405385,51.471971,3,2,2,10/06/2011,6,15,3,30,Dual carriageway,40,3.0,3,2,1.0,4,3,2,0,5.0,1,2011,6
